story_id	publication_info
778	DS_III_529
779	DS_IV_1371
780	DS_V_690
781	DS_II_B_214
782	DS_II_C_68
783	DS_VI_75
784	DS_II_D_16
785	DS_II_G_317
786	DS_I_962
787	DS_II_E_160
788	DS_I_1356
789	DS_I_382
790	DS_I_898
791	DS_V_1545
792	DS_V_57
793	DS_II_G_340
794	DS_I_796
795	DS_IV_2015
796	DS_VII_423
797	DS_IV_1449
798	DS_V_289
799	DS_IV_1681
800	DS_IV_1683
801	DS_IV_1755
802	DS_VII_1488
803	DS_IV_1702
804	DS_III_2302
805	DS_II_A_131
806	DS_I_813
807	DS_VI_427
808	DS_VII_1357
809	DS_III_2198
810	DS_II_C_24
811	DS_I_143
812	DS_V_1477
813	DS_VII_1478
814	DS_IV_1588
815	DS_V_1588
816	DS_VI_1078
817	DS_VII_310
818	DS_V_728
820	DS_I_1033
821	DS_I_1413
822	DS_I_381
823	DS_II_A_149
824	DS_II_B_11
825	DS_II_B_18
826	DS_II_F_15
827	DS_II_G_89
828	DS_III_2412
829	DS_IV_1707
830	DS_V_129
831	DS_VII_176
832	DS_IV_1518
834	DS_V_45
835	DS_V_39
837	DS_VI_315
838	DS_III_2296
839	DS_II_E_48
840	DS_II_C_36
841	DS_IV_1451
842	DS_V_97
843	DS_II_A_76
844	DS_IV_1470
845	DS_IV_1289
846	DS_III_531
847	DS_II_E_117
848	DS_VI_1252
849	DS_II_F_73
850	DS_V_477
851	DS_V_700
852	DS_VI_926
853	DS_V_331
854	DS_III_880
855	DS_V_384
856	DS_II_F_65
858	DS_IV_1249
859	JFm_V_49
860	DS_I_1154
861	DS_I_1358
862	DS_I_756
863	DS_I_818
864	DS_I_87
865	DS_II_C_106
866	DS_II_F_101
867	DS_II_G_266
868	DS_II_G_351
869	DS_III_2252
870	DS_IV_1384
871	DS_IV_1490
872	DS_IV_151
873	DS_IV_1686
874	DS_IV_1728
875	DS_IV_1778
876	DS_IV_2016
877	DS_V_1389
878	DS_V_1417
879	DS_V_421
880	DS_V_43
881	DS_V_714
882	DS_V_744
883	DS_V_913
884	DS_VI_222
886	DS_VI_87
887	DS_VII_1418
888	DS_VII_268
889	DS_VII_304
890	DS_VII_506
891	DS_VII_574
892	DS_VII_591
222	JAH_V_524
354	JAT_VI_805
893	DS_II_J_248
894	DS_II_G_93
895	DS_II_G_94
896	DS_II_G_95
897	DS_II_J_306
899	DS_II_G_90
900	DS_V_820
901	DS_VI_973
902	DS_VII_1612
903	DS_VII_597
904	JAH_II_253
905	JAH_II_254
906	JAH_II_255
907	JAH_II_412
909	JAH_II_414
910	JAT_II_192
911	DS_II_F_90
912	DS_II_F_94
913	DS_II_F_95
914	DS_II_F_93
